expval,cluId,light,session,cellType
0.022738579462061377,mn8578-05122021-0108_241,light,mn8578-05122021-0108,fs
0.016763146555569857,mn8578-05122021-0108_241,dark,mn8578-05122021-0108,fs
0.03906497670770573,mn8578-06122021-0107_21,light,mn8578-06122021-0107,fs
0.0284212885930938,mn8578-06122021-0107_21,dark,mn8578-06122021-0107,fs
-0.005364492667857559,mn8578-07122021-0107_30,light,mn8578-07122021-0107,fs
-0.011907055017376097,mn8578-07122021-0107_80,light,mn8578-07122021-0107,fs
0.011482241822078632,mn8578-07122021-0107_151,light,mn8578-07122021-0107,fs
-0.014267528638989776,mn8578-07122021-0107_30,dark,mn8578-07122021-0107,fs
0.0030396919013833063,mn8578-07122021-0107_80,dark,mn8578-07122021-0107,fs
0.028143099648757552,mn8578-07122021-0107_151,dark,mn8578-07122021-0107,fs
0.001877944394141288,mn8578-08122021-0110_33,light,mn8578-08122021-0110,fs
-0.012568717624707008,mn8578-08122021-0110_142,light,mn8578-08122021-0110,fs
0.002923271201862454,mn8578-08122021-0110_172,light,mn8578-08122021-0110,fs
-7.097586805338168e-06,mn8578-08122021-0110_33,dark,mn8578-08122021-0110,fs
-0.02558956094296914,mn8578-08122021-0110_142,dark,mn8578-08122021-0110,fs
-0.012027380459651143,mn8578-08122021-0110_172,dark,mn8578-08122021-0110,fs
0.041842218139367164,mn8578-10122021-0107_144,light,mn8578-10122021-0107,fs
0.0307144965713224,mn8578-10122021-0107_180,light,mn8578-10122021-0107,fs
0.000569071718526208,mn8578-10122021-0107_192,light,mn8578-10122021-0107,fs
0.010508086899604084,mn8578-10122021-0107_252,light,mn8578-10122021-0107,fs
0.03576465250603414,mn8578-10122021-0107_144,dark,mn8578-10122021-0107,fs
-0.06205767655470391,mn8578-10122021-0107_180,dark,mn8578-10122021-0107,fs
0.028326617385802545,mn8578-10122021-0107_192,dark,mn8578-10122021-0107,fs
0.07187446143550692,mn8578-10122021-0107_252,dark,mn8578-10122021-0107,fs
-0.0146171542705206,mn8578-15122021-0107_1,light,mn8578-15122021-0107,fs
0.04911223340303021,mn8578-15122021-0107_8,light,mn8578-15122021-0107,fs
-0.009977878578097015,mn8578-15122021-0107_151,light,mn8578-15122021-0107,fs
-0.010844976312969004,mn8578-15122021-0107_260,light,mn8578-15122021-0107,fs
0.007823024747984032,mn8578-15122021-0107_326,light,mn8578-15122021-0107,fs
0.026654720509056786,mn8578-15122021-0107_1,dark,mn8578-15122021-0107,fs
0.0008596241878922086,mn8578-15122021-0107_8,dark,mn8578-15122021-0107,fs
-0.0039639634202317765,mn8578-15122021-0107_151,dark,mn8578-15122021-0107,fs
0.02428557598445526,mn8578-15122021-0107_260,dark,mn8578-15122021-0107,fs
0.012857915957897492,mn8578-15122021-0107_326,dark,mn8578-15122021-0107,fs
-0.0009448528623732036,mn8578-17122021-0107_94,light,mn8578-17122021-0107,fs
0.04084380221598063,mn8578-17122021-0107_242,light,mn8578-17122021-0107,fs
-0.011900166885040342,mn8578-17122021-0107_94,dark,mn8578-17122021-0107,fs
0.025946639808720605,mn8578-17122021-0107_242,dark,mn8578-17122021-0107,fs
0.000937063042287472,mn8578-23122021-0108_5,light,mn8578-23122021-0108,fs
0.03389862236860988,mn8578-23122021-0108_73,light,mn8578-23122021-0108,fs
0.014126858498238248,mn8578-23122021-0108_74,light,mn8578-23122021-0108,fs
-0.019096275269575958,mn8578-23122021-0108_75,light,mn8578-23122021-0108,fs
0.04592282382629238,mn8578-23122021-0108_5,dark,mn8578-23122021-0108,fs
0.06331512871785122,mn8578-23122021-0108_73,dark,mn8578-23122021-0108,fs
0.017063636335648107,mn8578-23122021-0108_74,dark,mn8578-23122021-0108,fs
-0.008118606132817147,mn8578-23122021-0108_75,dark,mn8578-23122021-0108,fs
0.0269457155191284,mn8578-27122021-0107_6,light,mn8578-27122021-0107,fs
0.04044305802544279,mn8578-27122021-0107_21,light,mn8578-27122021-0107,fs
0.00930624812069879,mn8578-27122021-0107_104,light,mn8578-27122021-0107,fs
0.00576595852808994,mn8578-27122021-0107_115,light,mn8578-27122021-0107,fs
0.04233629161518347,mn8578-27122021-0107_6,dark,mn8578-27122021-0107,fs
0.06819307467615816,mn8578-27122021-0107_21,dark,mn8578-27122021-0107,fs
0.021225423802268488,mn8578-27122021-0107_104,dark,mn8578-27122021-0107,fs
-0.0028979068964027975,mn8578-27122021-0107_115,dark,mn8578-27122021-0107,fs
0.03601625718575043,mn8578-25122021-0107_2,light,mn8578-25122021-0107,fs
0.03231622595968329,mn8578-25122021-0107_10,light,mn8578-25122021-0107,fs
0.0025224074567397614,mn8578-25122021-0107_43,light,mn8578-25122021-0107,fs
0.0010223343734777324,mn8578-25122021-0107_107,light,mn8578-25122021-0107,fs
0.038848158444241596,mn8578-25122021-0107_197,light,mn8578-25122021-0107,fs
0.04490306491566056,mn8578-25122021-0107_2,dark,mn8578-25122021-0107,fs
0.055825341830001575,mn8578-25122021-0107_10,dark,mn8578-25122021-0107,fs
0.005808790377278466,mn8578-25122021-0107_43,dark,mn8578-25122021-0107,fs
-0.002382684609232805,mn8578-25122021-0107_107,dark,mn8578-25122021-0107,fs
0.0264973358300723,mn8578-25122021-0107_197,dark,mn8578-25122021-0107,fs
0.010812386831214634,mn8578-28122021-0107_11,light,mn8578-28122021-0107,fs
0.023689885844218817,mn8578-28122021-0107_17,light,mn8578-28122021-0107,fs
0.03840339939354222,mn8578-28122021-0107_74,light,mn8578-28122021-0107,fs
0.012350792272298667,mn8578-28122021-0107_85,light,mn8578-28122021-0107,fs
0.04023974939019782,mn8578-28122021-0107_11,dark,mn8578-28122021-0107,fs
0.03636257708718538,mn8578-28122021-0107_17,dark,mn8578-28122021-0107,fs
0.023717546567129013,mn8578-28122021-0107_74,dark,mn8578-28122021-0107,fs
-0.0169631299392976,mn8578-28122021-0107_85,dark,mn8578-28122021-0107,fs
0.02428928820216725,mn8578-29122021-0107_5,light,mn8578-29122021-0107,fs
0.02357224440001453,mn8578-29122021-0107_11,light,mn8578-29122021-0107,fs
0.03769096701913832,mn8578-29122021-0107_5,dark,mn8578-29122021-0107,fs
0.07562810901390886,mn8578-29122021-0107_11,dark,mn8578-29122021-0107,fs
0.0038083749767047685,mn8578-03012022-0107_17,light,mn8578-03012022-0107,fs
0.02894615559942487,mn8578-03012022-0107_67,light,mn8578-03012022-0107,fs
0.011934511483034505,mn8578-03012022-0107_17,dark,mn8578-03012022-0107,fs
0.03269525535957734,mn8578-03012022-0107_67,dark,mn8578-03012022-0107,fs
-0.009036991016676864,mn8599-18012022-0107_6,light,mn8599-18012022-0107,fs
0.021868114098930237,mn8599-18012022-0107_23,light,mn8599-18012022-0107,fs
-0.04375218536936926,mn8599-18012022-0107_45,light,mn8599-18012022-0107,fs
-0.000216142690267875,mn8599-18012022-0107_52,light,mn8599-18012022-0107,fs
-0.01589803862893046,mn8599-18012022-0107_66,light,mn8599-18012022-0107,fs
-0.01913973618637359,mn8599-18012022-0107_87,light,mn8599-18012022-0107,fs
0.0020371457559349433,mn8599-18012022-0107_6,dark,mn8599-18012022-0107,fs
-0.0023931340306485452,mn8599-18012022-0107_23,dark,mn8599-18012022-0107,fs
-0.02348396698140817,mn8599-18012022-0107_45,dark,mn8599-18012022-0107,fs
-0.011636659762991454,mn8599-18012022-0107_52,dark,mn8599-18012022-0107,fs
-0.005908115343164825,mn8599-18012022-0107_66,dark,mn8599-18012022-0107,fs
-0.01943875210360252,mn8599-18012022-0107_87,dark,mn8599-18012022-0107,fs
0.019180505404830524,mn8599-19012022-0107_6,light,mn8599-19012022-0107,fs
0.03251674437409377,mn8599-19012022-0107_20,light,mn8599-19012022-0107,fs
-0.019688949018660157,mn8599-19012022-0107_52,light,mn8599-19012022-0107,fs
0.0005080193031967,mn8599-19012022-0107_53,light,mn8599-19012022-0107,fs
0.019312954123967004,mn8599-19012022-0107_54,light,mn8599-19012022-0107,fs
0.008516752557774347,mn8599-19012022-0107_68,light,mn8599-19012022-0107,fs
-0.017324746663294494,mn8599-19012022-0107_79,light,mn8599-19012022-0107,fs
0.022968904402051977,mn8599-19012022-0107_6,dark,mn8599-19012022-0107,fs
-0.01766704313704721,mn8599-19012022-0107_20,dark,mn8599-19012022-0107,fs
-0.02089175245410236,mn8599-19012022-0107_52,dark,mn8599-19012022-0107,fs
0.010326774733674465,mn8599-19012022-0107_53,dark,mn8599-19012022-0107,fs
0.04332325874244246,mn8599-19012022-0107_54,dark,mn8599-19012022-0107,fs
-0.0037405165652191824,mn8599-19012022-0107_68,dark,mn8599-19012022-0107,fs
0.0052968975172209025,mn8599-19012022-0107_79,dark,mn8599-19012022-0107,fs
0.02314418529103863,mn8599-22012022-0108_14,light,mn8599-22012022-0108,fs
0.03282825861916569,mn8599-22012022-0108_19,light,mn8599-22012022-0108,fs
0.006237239478632123,mn8599-22012022-0108_24,light,mn8599-22012022-0108,fs
0.0017019352695933684,mn8599-22012022-0108_31,light,mn8599-22012022-0108,fs
-0.0007540126394838667,mn8599-22012022-0108_51,light,mn8599-22012022-0108,fs
-0.0006728319692649887,mn8599-22012022-0108_14,dark,mn8599-22012022-0108,fs
-0.011201130733401506,mn8599-22012022-0108_19,dark,mn8599-22012022-0108,fs
0.0011257656125394817,mn8599-22012022-0108_24,dark,mn8599-22012022-0108,fs
0.006725166964315202,mn8599-22012022-0108_31,dark,mn8599-22012022-0108,fs
0.010382165901914396,mn8599-22012022-0108_51,dark,mn8599-22012022-0108,fs
-0.009471025859078138,mn8599-20012022-0107_9,light,mn8599-20012022-0107,fs
0.01147883929693813,mn8599-20012022-0107_27,light,mn8599-20012022-0107,fs
-0.024258867023189842,mn8599-20012022-0107_67,light,mn8599-20012022-0107,fs
0.006947915239407772,mn8599-20012022-0107_68,light,mn8599-20012022-0107,fs
-0.032799545651763,mn8599-20012022-0107_94,light,mn8599-20012022-0107,fs
0.03400027304942821,mn8599-20012022-0107_9,dark,mn8599-20012022-0107,fs
-0.006972004807542043,mn8599-20012022-0107_27,dark,mn8599-20012022-0107,fs
-0.015121175090730223,mn8599-20012022-0107_67,dark,mn8599-20012022-0107,fs
-0.0061806050448499125,mn8599-20012022-0107_68,dark,mn8599-20012022-0107,fs
-0.0018904115161685069,mn8599-20012022-0107_94,dark,mn8599-20012022-0107,fs
0.011092559861744835,mn8599-25012022-0107_0,light,mn8599-25012022-0107,fs
0.019212731663278144,mn8599-25012022-0107_7,light,mn8599-25012022-0107,fs
-0.02905441181954301,mn8599-25012022-0107_20,light,mn8599-25012022-0107,fs
-0.005736230671030678,mn8599-25012022-0107_37,light,mn8599-25012022-0107,fs
0.0050843901151360615,mn8599-25012022-0107_73,light,mn8599-25012022-0107,fs
